,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
182,2023-01-03,THE,79.25,THE,,MWh,EUR,ASK,Q223,8,Quarter
183,2023-01-03,SK VTP_CEGH,0.5,SK VTP,CEGH,MWh,EUR,BID,Q223,8,Quarter
184,2023-01-03,THE_TTF,1.325,THE,TTF,MWh,EUR,BID,Q223,8,Quarter
185,2023-01-03,THE_TTF,1.6,THE,TTF,MWh,EUR,ASK,Q223,8,Quarter
186,2023-01-03,TTF,77.0,TTF,,MWh,EUR,BID,Q223,8,Quarter
187,2023-01-03,TTF,77.65,TTF,,MWh,EUR,ASK,Q223,8,Quarter
188,2023-01-03,Czech Virtual Point,79.915,Czech Virtual Point,,MWh,EUR,BID,Q323,8,Quarter
189,2023-01-03,Czech Virtual Point,82.28999999999999,Czech Virtual Point,,MWh,EUR,ASK,Q323,8,Quarter
190,2023-01-03,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,Q323,8,Quarter
191,2023-01-03,Czech Virtual Point_THE,1.5,Czech Virtual Point,THE,MWh,EUR,ASK,Q323,8,Quarter
192,2023-01-03,VTP_TTF,1.325,VTP,TTF,MWh,EUR,BID,Q323,8,Quarter
193,2023-01-03,VTP_TTF,2.2,VTP,TTF,MWh,EUR,ASK,Q323,8,Quarter
194,2023-01-03,THE,79.415,THE,,MWh,EUR,BID,Q323,8,Quarter
195,2023-01-03,THE,80.78999999999999,THE,,MWh,EUR,ASK,Q323,8,Quarter
196,2023-01-03,THE_TTF,1.105,THE,TTF,MWh,EUR,BID,Q323,8,Quarter
197,2023-01-03,THE_TTF,1.425,THE,TTF,MWh,EUR,ASK,Q323,8,Quarter
198,2023-01-03,TTF,78.31,TTF,,MWh,EUR,BID,Q323,8,Quarter
199,2023-01-03,TTF,79.365,TTF,,MWh,EUR,ASK,Q323,8,Quarter
200,2023-01-03,Czech Virtual Point,85.24499999999999,Czech Virtual Point,,MWh,EUR,BID,Q423,8,Quarter
201,2023-01-03,Czech Virtual Point,87.72,Czech Virtual Point,,MWh,EUR,ASK,Q423,8,Quarter
202,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,Q423,8,Quarter
203,2023-01-03,Czech Virtual Point_THE,2.0,Czech Virtual Point,THE,MWh,EUR,ASK,Q423,8,Quarter
204,2023-01-03,VTP_TTF,3.3,VTP,TTF,MWh,EUR,BID,Q423,8,Quarter
205,2023-01-03,VTP_TTF,3.525,VTP,TTF,MWh,EUR,ASK,Q423,8,Quarter
206,2023-01-03,THE,84.24499999999999,THE,,MWh,EUR,BID,Q423,8,Quarter
